 [63.8, 23900.0],
 [63.9, 23900.0],
 [64.0, 23900.0],
 [64.1, 23902.0],
 [64.2, 23902.0],
 [64.3, 23902.0],
 [64.4, 23902.0],
 [64.5, 23905.0],
 [64.6, 23905.0],
 [64.7, 23907.0],
 [64.8, 23907.0],
 [64.9, 23912.0],
 [65.0, 23912.0],
 [65.1, 23913.0],
 [65.2, 23913.0],
 [65.3, 23913.0],
 [65.4, 23913.0],
 [65.5, 23920.0],
 [65.6, 23920.0],
 [65.7, 23923.0],
 [65.8, 23923.0],
 [65.9, 23923.0],
 [66.0, 23923.0],
 [66.1, 23924.0],
 [66.2, 23924.0],
 [66.3, 23925.0],
 [66.4, 23925.0],
 [66.5, 23928.0],
 [66.6, 23928.0],
 [66.7, 23933.0],
 [66.8, 23933.0],
 [66.9, 23933.0],
 [67.0, 23933.0],
 [67.1, 23934.0],
 [67.2, 23934.0],
 [67.3, 23936.0],
 [67.4, 23936.0],
 [67.5, 23936.0],
 [67.6, 23936.0],
 [67.7, 23938.0],
 [67.8, 23938.0],
 [67.9, 23938.0],
 [68.0, 23938.0],
 [68.1, 23939.0],
 [68.2, 23939.0],
 [68.3, 23941.0],
 [68.4, 23941.0],
 [68.5, 23943.0],
 [68.6, 23943.0],
 [68.7, 23944.0],
 [68.8, 23944.0],
 [68.9, 23949.0],
 [69.0, 23949.0],
 [69.1, 23956.0],
 [69.2, 23956.0],
 [69.3, 23958.0],
 [69.4, 23958.0],
 [69.5, 23958.0],
 [69.6, 23958.0],
 [69.7, 23959.0],
 [69.8, 23959.0],
 [69.9, 23960.0],
 [70.0, 23960.0],
 [70.1, 23960.0],
 [70.2, 23960.0],
 [70.3, 23970.0],
 [70.4, 23970.0],
 [70.5, 23975.0],
 [70.6, 23975.0],
 [70.7, 23978.0],
 [70.8, 23978.0],
 [70.9, 23978.0],
 [71.0, 23978.0],
 [71.1, 23982.0],
 [71.2, 23982.0],
 [71.3, 23983.0],
 [71.4, 23983.0],
 [71.5, 23984.0],
 [71.6, 23984.0],
 [71.7, 23991.0],
 [71.8, 23991.0],
 [71.9, 23996.0],
 [72.0, 23996.0],
 [72.1, 24001.0],
 [72.2, 24001.0],
 [72.3, 24003.0],
 [72.4, 24003.0],
 [72.5, 24004.0],
 [72.6, 24004.0],
 [72.7, 24005.0],
 [72.8, 24005.0],
 [72.9, 24010.0],
 [73.0, 24010.0],
 [73.1, 24012.0],
 [73.2, 24012.0],
 [73.3, 24026.0],
 [73.4, 24026.0],
 [73.5, 24028.0],
 [73.6, 24028.0],
 [73.7, 24032.0],
 [73.8, 24032.0],
 [73.9, 24033.0],
 [74.0, 24033.0],
 [74.1, 24036.0],
 [74.2, 24036.0],
 [74.3, 24039.0],
 [74.4, 24039.0],
 [74.5, 24041.0],
 [74.6, 24041.0],
 [74.7, 24044.0],
 [74.8, 24044.0],
 [74.9, 24050.0],
 [75.0, 24050.0],
 [75.1, 24051.0],
 [75.2, 24051.0],
 [75.3, 24051.0],
 [75.4, 24051.0],
 [75.5, 24056.0],
 [75.6, 24056.0],
 [75.7, 24058.0],
 [75.8, 24058.0],
 [75.9, 24060.0],
 [76.0, 24060.0],
 [76.1, 24060.0],
 [76.2, 24060.0],
 [76.3, 24063.0],
 [76.4, 24063.0],
 [76.5, 24066.0],
 [76.6, 24066.0],
 [76.7, 24069.0],
 [76.8, 24069.0],
 [76.9, 24073.0],
 [77.0, 24073.0],
 [77.1, 24079.0],
 [77.2, 24079.0],
 [77.3, 24081.0],
 [77.4, 24081.0],
 [77.5, 24085.0],
 [77.6, 24085.0],
 [77.7, 24087.0],
 [77.8, 24087.0],
 [77.9, 24089.0],
 [78.0, 24089.0],
 [78.1, 24089.0],
 [78.2, 24089.0],
 [78.3, 24093.0],
 [78.4, 24093.0],
 [78.5, 24098.0],
 [78.6, 24098.0],
 [78.7, 24098.0],
 [78.8, 24098.0],
 [78.9, 24099.0],
 [79.0, 24099.0],
 [79.1, 24100.0],
 [79.2, 24100.0],
 [79.3, 24107.0],
 [79.4, 24107.0],
 [79.5, 24110.0],
 [79.6, 24110.0],
 [79.7, 24112.0],
 [79.8, 24112.0],
 [79.9, 24113.0],
 [80.0, 24113.0],
 [80.1, 24116.0],
 [80.2, 24116.0],
 [80.3, 24119.0],
 [80.4, 24119.0],
 [80.5, 24121.0],
 [80.6, 24121.0],
 [80.7, 24124.0],
 [80.8, 24124.0],
 [80.9, 24124.0],
 [81.0, 24124.0],
 [81.1, 24126.0],
 [81.2, 24126.0],
 [81.3, 24126.0],
 [81.4, 24126.0],
 [81.5, 24128.0],
 [81.6, 24128.0],
 [81.7, 24128.0],
 [81.8, 24128.0],
 [81.9, 24132.0],
 [82.0, 24132.0],
 [82.1, 24132.0],
 [82.2, 24132.0],
 [82.3, 24142.0],
 [82.4, 24142.0],
 [82.5, 24142.0],
 [82.6, 24142.0],
 [82.7, 24143.0],
 [82.8, 24143.0],
 [82.9, 24145.0],
 [83.0, 24145.0],
 [83.1, 24146.0],
 [83.2, 24146.0],
 [83.3, 24148.0],
 [83.4, 24148.0],
 [83.5, 24148.0],
 [83.6, 24148.0],
 [83.7, 24149.0],
 [83.8, 24149.0],
 [83.9, 24156.0],
 [84.0, 24156.0],
 [84.1, 24157.0],
 [84.2, 24157.0],
 [84.3, 24157.0],
 [84.4, 24157.0],
 [84.5, 24158.0],
 [84.6, 24158.0],
 [84.7, 24161.0],
 [84.8, 24161.0],
 [84.9, 24162.0],
 [85.0, 24162.0],
 [85.1, 24167.0],
 [85.2, 24167.0],
 [85.3, 24168.0],
 [85.4, 24168.0],
 [85.5, 24171.0],
 [85.6, 24171.0],
 [85.7, 24171.0],
 [85.8, 24171.0],
 [85.9, 24177.0],
 [86.0, 24177.0],
 [86.1, 24177.0],
 [86.2, 24177.0],
 [86.3, 24178.0],
 [86.4, 24178.0],
 [86.5, 24179.0],
 [86.6, 24179.0],
 [86.7, 24182.0],
 [86.8, 24182.0],
 [86.9, 24182.0],
 [87.0, 24182.0],
 [87.1, 24184.0],
 [87.2, 24184.0],
 [87.3, 24195.0],
 [87.4, 24195.0],
 [87.5, 24198.0],
 [87.6, 24198.0],
 [87.7, 24201.0],
 [87.8, 24201.0],
 [87.9, 24203.0],
 [88.0, 24203.0],
 [88.1, 24206.0],
 [88.2, 24206.0],
 [88.3, 24206.0],
 [88.4, 24206.0],
 [88.5, 24207.0],
 [88.6, 24207.0],
 [88.7, 24208.0],
 [88.8, 24208.0],
 [88.9, 24210.0],
 [89.0, 24210.0],
 [89.1, 24221.0],
 [89.2, 24221.0],
 [89.3, 24223.0],
 [89.4, 24223.0],
 [89.5, 24227.0],
 [89.6, 24227.0],
 [89.7, 24228.0],
 [89.8, 24228.0],
 [89.9, 24230.0],
 [90.0, 24230.0],
 [90.1, 24230.0],
 [90.2, 24230.0],
 [90.3, 24243.0],
 [90.4, 24243.0],
 [90.5, 24245.0],
 [90.6, 24245.0],
 [90.7, 24247.0],
 [90.8, 24247.0],
 [90.9, 24249.0],
 [91.0, 24249.0],
 [91.1, 24254.0],
 [91.2, 24254.0],
 [91.3, 24260.0],
 [91.4, 24260.0],
 [91.5, 24261.0],
 [91.6, 24261.0],
 [91.7, 24263.0],
 [91.8, 24263.0],
 [91.9, 24265.0],
 [92.0, 24265.0],
 [92.1, 24265.0],
 [92.2, 24265.0],
 [92.3, 24265.0],
 [92.4, 24265.0],
 [92.5, 24271.0],
 [92.6, 24271.0],
 [92.7, 24275.0],
 [92.8, 24275.0],
 [92.9, 24276.0],
 [93.0, 24276.0],
 [93.1, 24277.0],
 [93.2, 24277.0],
 [93.3, 24282.0],
 [93.4, 24282.0],
 [93.5, 24283.0],
 [93.6, 24283.0],
 [93.7, 24284.0],
 [93.8, 24284.0],
 [93.9, 24284.0],
 [94.0, 24284.0],
 [94.1, 24284.0],
 [94.2, 24284.0],
 [94.3, 24287.0],
 [94.4, 24287.0],
 [94.5, 24287.0],
 [94.6, 24287.0],
 [94.7, 24289.0],
 [94.8, 24289.0],
 [94.9, 24294.0],
 [95.0, 24294.0],
 [95.1, 24295.0],
 [95.2, 24295.0],
 [95.3, 24299.0],
 [95.4, 24299.0],
 [95.5, 24304.0],
 [95.6, 24304.0],
 [95.7, 24307.0],
 [95.8, 24307.0],
 [95.9, 24316.0],
 [96.0, 24316.0],
 [96.1, 24318.0],
 [96.2, 24318.0],
 [96.3, 24319.0],
 [96.4, 24319.0],
 [96.5, 24322.0],
 [96.6, 24322.0],
 [96.7, 24330.0],
 [96.8, 24330.0],
 [96.9, 24333.0],
 [97.0, 24333.0],
 [97.1, 24334.0],
 [97.2, 24334.0],
 [97.3, 24335.0],
 [97.4, 24335.0],
 [97.5, 24340.0],
 [97.6, 24340.0],
 [97.7, 24340.0],
 [97.8, 24340.0],
 [97.9, 24346.0],
 [98.0, 24346.0],
 [98.1, 24352.0],
 [98.2, 24352.0],
 [98.3, 24363.0],
 [98.4, 24363.0],
 [98.5, 24380.0],
 [98.6, 24380.0],
 [98.7, 24382.0],
 [98.8, 24382.0],
 [98.9, 24391.0],
 [99.0, 24391.0],
 [99.1, 24411.0],
 [99.2, 24411.0],
 [99.3, 24416.0],
 [99.4, 24416.0],
 [99.5, 24418.0],
 [99.6, 24418.0],
 [99.7, 24427.0],
 [99.8, 24427.0],
 [99.9, 24444.0],
 [100.0, 24444.0]
